,province,city,confirm,suspect,dead,heal,addconfirm,addsuspect,adddead,addheal
0,湖北,武汉,14982,0,608,877,1379,0,0,0
1,湖北,孝感,2436,0,29,45,123,0,0,0
2,湖北,黄冈,2141,0,43,135,100,0,0,0
3,湖北,荆州,997,0,13,33,56,0,0,0
4,湖北,襄阳,988,0,7,40,81,0,0,0
5,湖北,随州,984,0,9,23,31,0,0,0
6,湖北,黄石,760,0,2,54,57,0,0,0
7,湖北,宜昌,711,0,8,36,78,0,0,0
8,湖北,荆门,663,0,19,48,75,0,0,0
9,湖北,鄂州,639,0,21,42,70,0,0,0
10,湖北,咸宁,493,0,4,23,17,0,0,0
11,湖北,十堰,467,0,0,40,29,0,0,0
12,湖北,仙桃,379,0,5,16,20,0,0,0
13,湖北,天门,197,0,10,1,18,0,0,0
14,湖北,恩施州,171,0,0,20,11,0,0,0
15,湖北,潜江,82,0,2,2,2,0,0,0
16,湖北,神农架,10,0,0,2,0,0,0,0
17,湖北,地区待确认,0,0,0,3,0,0,0,0
18,广东,深圳,364,0,0,39,13,0,0,0
19,广东,广州,304,0,0,36,6,0,0,0
20,广东,珠海,83,0,0,4,1,0,0,0
21,广东,佛山,65,0,0,4,5,0,0,0
22,广东,东莞,58,0,0,1,2,0,0,0
23,广东,中山,51,0,0,14,5,0,0,0
24,广东,惠州,47,0,0,1,6,0,0,0
25,广东,汕头,25,0,0,3,0,0,0,0
26,广东,湛江,21,0,0,6,1,0,0,0
27,广东,江门,17,0,0,1,3,0,0,0
28,广东,肇庆,14,0,1,3,0,0,0,0
29,广东,阳江,13,0,0,1,0,0,0,0
30,广东,梅州,13,0,0,4,0,0,0,0
31,广东,清远,10,0,0,3,0,0,0,0
32,广东,茂名,9,0,0,1,3,0,0,0
33,广东,揭阳,7,0,0,1,0,0,0,0
34,广东,韶关,6,0,0,2,0,0,0,0
35,广东,潮州,5,0,0,0,0,0,0,0
36,广东,汕尾,5,0,0,1,0,0,0,0
37,广东,河源,3,0,0,0,0,0,0,0
38,浙江,温州,448,0,0,70,10,0,0,0
39,浙江,杭州,165,0,0,41,3,0,0,0
40,浙江,宁波,146,0,0,13,5,0,0,0
41,浙江,台州,138,0,0,25,5,0,0,0
42,浙江,金华,53,0,0,13,1,0,0,0
43,浙江,绍兴,38,0,0,8,2,0,0,0
44,浙江,嘉兴,38,0,0,1,1,0,0,0
45,浙江,丽水,17,0,0,5,0,0,0,0
46,浙江,衢州,15,0,0,3,0,0,0,0
47,浙江,湖州,10,0,0,1,0,0,0,0
48,浙江,舟山,7,0,0,5,0,0,0,0
49,河南,信阳,205,0,0,24,13,0,0,0
50,河南,南阳,133,0,2,12,5,0,0,0
51,河南,郑州,126,0,0,29,6,0,0,0
52,河南,驻马店,116,0,0,6,3,0,0,0
53,河南,商丘,82,0,0,6,7,0,0,0
54,河南,周口,62,0,0,10,0,0,0,0
55,河南,平顶山,50,0,1,6,2,0,0,0
